Brian Roemmele,412658,2017-10-29 23:51:44,"BOOOM:

Bitcoin reaches a new all-time high $6,200+

The “stupid” coin to the moon🚀

Mining makes the difference ⛏… https://t.co/GWy9j9Llbi",924785855243239424
Michael Canfield,1193005,2017-10-29 23:44:07,How Money Got Free: Bitcoin and the Fight for the Future of Finance https://t.co/nThqzgpOtS https://t.co/mrm84jHlOS,924783937708273664
Remi Vee NO2X 🛡️,121868,2017-10-29 23:39:45,"$6,300: Bitcoin Price Hits Record High https://t.co/mZ4KBQayIk",924782841493409792
Malinee Pompinit,167577,2017-10-29 23:38:02,"Bitcoin soars to record high above $6,000 https://t.co/rbmpOJ1Z8I",924782406783119360
ASRGLOBALNEWS,115724,2017-10-29 23:36:07,Bitcoin Just Hit A New Record High At $6300 – Up Over 550% YTD https://t.co/wVJLemzoxZ https://t.co/AKPZxs1Ulj,924781925197377536
Colin Sydes,195174,2017-10-29 23:10:42,"$6,300: Bitcoin Price Hits Record High https://t.co/ZaQGDLRKJr #Cryptocurrency #Bitcoin #Blockchain via @SydesJokes https://t.co/dmsb7yJUCB",924775532046282752
AskMen,197856,2017-10-29 22:45:46,"Consider this your crash course.

Ethereum Vs. Bitcoin: Which Cryptocurrency Is Right For You?… https://t.co/nb3R1BSq3g",924769254204985346
CoinDesk,309537,2017-10-29 22:34:40,"$6,300: Bitcoin Price Hits Record High https://t.co/4Y8D3inGPg https://t.co/VdlqLqX5LP",924766459955380230
Stock Trade Alerts,132190,2017-10-29 22:32:18,"$6,300: Bitcoin Price Sets New Record https://t.co/nQ9vZtpFv2 https://t.co/goxongTKSc",924765867912577024
Automatski Solutions,103551,2017-10-29 22:19:39,'SmartNET' The Worlds Low Power Wide Area Network. https://t.co/i3CYHSvgkY #TokenSales #technews #ico #BitCoin… https://t.co/w35En3YjIF,924762681739038720
Merlin Digital,302631,2017-10-29 21:28:13,"RT @mikerelentless: #Bitcoin is the #Money of the Future!

Price rally continues!  Smashes all time HIGH!  $6,200

Wallstreet is dumbfounde…",924749738007842816
